cik_str,ticker,title
1330306,VWDRY,VESTAS WIND SYSTEMS A/S
1306965,RDS-A,Royal Dutch Shell plc
60667,LOW,LOWES COMPANIES INC
1707925,LIN,LINDE PLC
896878,INTU,INTUIT INC
753308,NEE,NEXTERA ENERGY INC
1000184,SAP,SAP SE
1703399,SE,Sea Ltd
1613103,MDT,Medtronic plc
100885,UNP,UNION PACIFIC CORP
313838,SONY,Sony Group Corp
1067839,QQQ,"INVESCO QQQ TRUST, SERIES 1"
316709,SCHW,SCHWAB CHARLES CORP
773840,HON,HONEYWELL INTERNATIONAL INC
901832,AZN,ASTRAZENECA PLC
1000275,RY,ROYAL BANK OF CANADA
1283699,TMUS,"T-Mobile US, Inc."
6951,AMAT,APPLIED MATERIALS INC /DE
1413329,PM,Philip Morris International Inc.
4962,AXP,AMERICAN EXPRESS CO
1364742,BLK,BlackRock Inc.
1108329,PTR,PETROCHINA CO LTD
831001,C,CITIGROUP INC
1549802,JD,"JD.com, Inc."
947263,TD,TORONTO DOMINION BANK
217410,UL,UNILEVER PLC
1373715,NOW,"ServiceNow, Inc."
14272,BMY,BRISTOL MYERS SQUIBB CO
829224,SBUX,STARBUCKS CORP
886982,GS,GOLDMAN SACHS GROUP INC
12927,BA,BOEING CO
1144967,HDB,HDFC BANK LTD
811809,BHP,BHP Group Ltd
101829,RTX,RAYTHEON TECHNOLOGIES CORP
879764,TTE,TotalEnergies SE
1445162,BYDDY,BYD CO LTD
1171264,BBL,BHP Group Plc
1559720,ABNB,"Airbnb, Inc."
1001250,EL,ESTEE LAUDER COMPANIES INC
64803,CVS,CVS HEALTH Corp
1121404,SNY,Sanofi
27419,TGT,TARGET CORP
835403,DEO,DIAGEO PLC
1091667,CHTR,"CHARTER COMMUNICATIONS, INC. /MO/"
1089113,HSBC,HSBC HOLDINGS PLC
1668717,BUD,Anheuser-Busch InBev SA/NV
1053507,AMT,AMERICAN TOWER CORP /MA/
1640147,SNOW,Snowflake Inc.
318154,AMGN,AMGEN INC
1438656,IDEXY,Industria de Diseno Textil Inditex SA / ADR
887028,RTNTF,RIO TINTO LTD
64040,SPGI,S&P Global Inc.
315189,DE,DEERE & CO
1045609,PLD,"Prologis, Inc."
18230,CAT,CATERPILLAR INC
1650372,TEAM,Atlassian Corp Plc
1268896,LFC,CHINA LIFE INSURANCE CO LTD
1555280,ZTS,Zoetis Inc.
1737806,PDD,Pinduoduo Inc.
1512673,SQ,"Square, Inc."
1131399,GSK,GLAXOSMITHKLINE PLC
1393818,BX,Blackstone Inc
1156039,ANTM,"Anthem, Inc."
51143,IBM,INTERNATIONAL BUSINESS MACHINES CORP
66740,MMM,3M CO
1445465,PPRUY,Kering
1065521,SFTBY,SOFTBANK GROUP CORP
923734,SBGSY,SCHNEIDER ELECTRIC SA
1682852,MRNA,"Moderna, Inc."
1378580,EADSY,Airbus SE/ADR
1067491,INFY,Infosys Ltd
8670,ADP,AUTOMATIC DATA PROCESSING INC
1163165,COP,CONOCOPHILLIPS
310764,SYK,STRYKER CORP
1075531,BKNG,Booking Holdings Inc.
1085922,ESLOY,ESSILOR INTERNATIONAL /FI
936468,LMT,LOCKHEED MARTIN CORP
863064,RIO,RIO TINTO PLC
1001085,BAM,BROOKFIELD ASSET MANAGEMENT INC.
313807,BP,BP PLC
16868,CNI,CANADIAN NATIONAL RAILWAY CO
707549,LRCX,LAM RESEARCH CORP
1467858,GM,General Motors Co
109198,TJX,TJX COMPANIES INC /DE/
89800,SHW,SHERWIN WILLIAMS CO
36104,USB,US BANCORP \DE\
1103982,MDLZ,"Mondelez International, Inc."
723125,MU,MICRON TECHNOLOGY INC
896159,CB,Chubb Ltd
713676,PNC,"PNC FINANCIAL SERVICES GROUP, INC."
62709,MMC,"MARSH & MCLENNAN COMPANIES, INC."
882095,GILD,GILEAD SCIENCES INC
1679788,COIN,"Coinbase Global, Inc."
1543151,UBER,"Uber Technologies, Inc"
92230,TFC,TRUIST FINANCIAL CORP
1140625,EQNR,EQUINOR ASA
1438845,SWGAY,Swatch Group AG\ADR
764180,MO,"ALTRIA GROUP, INC."
30554,CTA-PA,DUPONT E I DE NEMOURS & CO
1564408,SNAP,Snap Inc
1161167,AIQUY,L AIR LIQUIDE SA /FI
895728,ENB,ENBRIDGE INC
1156375,CME,CME GROUP INC.
860730,HCA,"HCA Healthcare, Inc."
1303523,BTI,British American Tobacco p.l.c.
9631,BNS,BANK OF NOVA SCOTIA
1051470,CCI,CROWN CASTLE INTERNATIONAL CORP
37996,F,FORD MOTOR CO
1536278,GWLLY,Great Wall Motor Co Limited/ADR
1571949,ICE,"Intercontinental Exchange, Inc."
1110646,NTES,"NetEase, Inc."
49826,ITW,ILLINOIS TOOL WORKS INC
1326160,DUK,Duke Energy CORP
1585521,ZM,"Zoom Video Communications, Inc."
1445476,HKXCY,Hong Kong Exchanges & Clearing Ltd
1739940,CI,Cigna Corp
1792789,DASH,"DoorDash, Inc."
748954,ATLCY,ATLAS COPCO AB
1059556,MCO,MOODYS CORP /DE/
1327811,WDAY,"Workday, Inc."
1689565,PSTVY,Postal Savings Bank of China Co Ltd/ADR
1099800,EW,Edwards Lifesciences Corp
10795,BDX,BECTON DICKINSON & CO
67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
1099590,MELI,MERCADOLIBRE INC
1091587,ABB,ABB LTD
1123658,SNP,CHINA PETROLEUM & CHEMICAL CORP
1315098,RBLX,Roblox Corp
1103838,IBN,ICICI BANK LTD
927971,BMO,BANK OF MONTREAL /CAN/
1101239,EQIX,EQUINIX INC
769397,ADSK,"Autodesk, Inc."
823768,WM,WASTE MANAGEMENT INC
6281,ADI,ANALOG DEVICES INC
872589,REGN,"REGENERON PHARMACEUTICALS, INC."
927628,COF,CAPITAL ONE FINANCIAL CORP
1551182,ETN,Eaton Corp plc
702165,NSC,NORFOLK SOUTHERN CORP
1158967,NJDCY,NIDEC CORP
1136893,FIS,"Fidelity National Information Services, Inc."
798354,FISV,FISERV INC
1477333,NET,"Cloudflare, Inc."
2969,APD,AIR PRODUCTS & CHEMICALS INC /DE/
315293,AON,Aon plc
1776985,BNTX,BioNTech SE
31462,ECL,ECOLAB INC.
1648416,RACE,Ferrari N.V.
1524684,GLNCY,Glencore plc/ADR
1107457,IFNNY,INFINEON TECHNOLOGIES AG
92122,SO,SOUTHERN CO
1048911,FDX,FEDEX CORP
319201,KLAC,KLA CORP
21665,CL,COLGATE PALMOLIVE CO
1119639,PBR,PETROBRAS - PETROLEO BRASILEIRO SA
1397187,LULU,lululemon athletica inc.
1605484,STLA,Stellantis N.V.
1610520,UBS,UBS Group AG
1736541,NIO,NIO Inc.
1093557,DXCM,DEXCOM INC
1835632,MRVL,"Marvell Technology, Inc."
891478,SAN,"Banco Santander, S.A."
1413447,NXPI,NXP Semiconductors N.V.
929869,RELX,RELX PLC
715957,D,"DOMINION ENERGY, INC"
1075124,TRI,THOMSON REUTERS CORP /CAN/
1453934,CHGCY,"Chugai Pharmaceutical Co., Ltd. / ADR"
1535527,CRWD,"CrowdStrike Holdings, Inc."
1446711,LZAGY,Lonza Group AG
1039765,ING,ING GROEP NV
1561550,DDOG,"Datadog, Inc."
1393311,PSA,Public Storage
719245,WBK,WESTPAC BANKING CORP
1065198,VCISY,VINCI /FI
1129137,AMX,AMERICA MOVIL SAB DE CV/
1420798,RBGLY,RECKITT BENCKISER GROUP PLC
917851,VALE,Vale S.A.
833444,JCI,Johnson Controls International plc
49071,HUM,HUMANA INC
885725,BSX,BOSTON SCIENTIFIC CORP
831259,FCX,FREEPORT-MCMORAN INC
32604,EMR,EMERSON ELECTRIC CO
40533,GD,GENERAL DYNAMICS CORP
1133421,NOC,NORTHROP GRUMMAN CORP /DE/
1364012,SAFRY,SAFRAN S.A.
1810806,U,Unity Software Inc.
1575851,SXYAY,Sika AG/ADR
1262039,FTNT,"Fortinet, Inc."
1063761,SPG,SIMON PROPERTY GROUP INC /DE/
1598014,INFO,IHS Markit Ltd.
1679771,DNNGY,Orsted A/S / ADR
1099219,MET,METLIFE INC
1110803,ILMN,"ILLUMINA, INC."
1408198,MSCI,MSCI Inc.
1385157,TEL,TE Connectivity Ltd.
1097149,ALGN,ALIGN TECHNOLOGY INC
874716,IDXX,IDEXX LABORATORIES INC /DE
883241,SNPS,SYNOPSYS INC
743988,XLNX,XILINX INC
1329099,BIDU,"Baidu, Inc."
80661,PGR,PROGRESSIVE CORP/OH/
1045520,CM,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/
29534,DG,DOLLAR GENERAL CORP
1109357,EXC,EXELON CORP
821189,EOG,EOG RESOURCES INC
1116578,PUK,PRUDENTIAL PLC
813672,CDNS,CADENCE DESIGN SYSTEMS INC
1261333,DOCU,"DOCUSIGN, INC."
882835,ROP,ROPER TECHNOLOGIES INC
1478242,IQV,IQVIA HOLDINGS INC.
1065088,EBAY,EBAY INC
1418135,KDP,Keurig Dr Pepper Inc.
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/
820313,APH,AMPHENOL CORP /DE/
1327567,PANW,Palo Alto Networks Inc
1390777,BK,Bank of New York Mellon Corp
1002242,E,ENI SPA
1124610,VMW,"VMWARE, INC."
1713683,ZS,"Zscaler, Inc."
1058090,CMG,CHIPOTLE MEXICAN GRILL INC
1017413,CNQ,CANADIAN NATURAL RESOURCES LTD
1690820,CVNA,CARVANA CO.
1450468,MRAAY,"Murata Manufacturing Co., Ltd./ADR"
1783180,CARR,CARRIER GLOBAL Corp
1090872,A,"AGILENT TECHNOLOGIES, INC."
1447669,TWLO,TWILIO INC
1565025,ABEV,AMBEV S.A.
1123799,WIT,WIPRO LTD
718877,ATVI,"Activision Blizzard, Inc."
1061219,EPD,ENTERPRISE PRODUCTS PARTNERS L.P.
753762,VLVLY,AKTIEBOLAGET VOLVO \PUBL\
715153,HMC,HONDA MOTOR CO LTD
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC."
1160106,LYG,Lloyds Banking Group plc
875320,VRTX,VERTEX PHARMACEUTICALS INC / MA
1521332,APTV,Aptiv PLC
1113169,TROW,PRICE T ROWE GROUP INC
1834584,CPNG,"Coupang, Inc."
865752,MNST,Monster Beverage Corp
1232384,TRP,TC ENERGY CORP
932787,STM,STMicroelectronics N.V.
1004315,NGG,NATIONAL GRID PLC
1393052,VEEV,VEEVA SYSTEMS INC
723254,CTAS,CINTAS CORP
1001838,SCCO,SOUTHERN COPPER CORP/
1466258,TT,Trane Technologies plc
1639920,SPOT,Spotify Technology S.A.
1297996,DLR,"DIGITAL REALTY TRUST, INC."
718940,BCE,BCE INC
1471055,BSBR,Banco Santander (Brasil) S.A.
1164727,NEM,NEWMONT Corp /DE/
16918,STZ,"CONSTELLATION BRANDS, INC."
1439584,LNSTY,London Stock Exchange Group
1404912,KKR,KKR & Co. Inc.
1022837,SMFG,"SUMITOMO MITSUI FINANCIAL GROUP, INC."
312069,BCS,BARCLAYS PLC
1532383,VNJA,VANJIA CORP
1121631,GVDNY,GIVAUDAN SA /FI
870016,JMHLY,JARDINE MATHESON HOLDINGS LTD \ /FI
1222333,GLD,SPDR GOLD TRUST
723531,PAYX,PAYCHEX INC
202058,LHX,"L3HARRIS TECHNOLOGIES, INC. /DE/"
898173,ORLY,O REILLY AUTOMOTIVE INC
55785,KMB,KIMBERLY CLARK CORP
1387438,ECIFY,ELECTRICITE DE FRANCE S.A.
87347,SLB,SCHLUMBERGER LIMITED/NV
1395064,TAK,TAKEDA PHARMACEUTICAL CO LTD
1279967,CRARY,CREDIT AGRICOLE S A
1131345,NVZMY,NOVOZYMES AS/FI
1071739,CNC,CENTENE CORP
1060391,RSG,"REPUBLIC SERVICES, INC."
1038357,PXD,PIONEER NATURAL RESOURCES CO
839923,VOD,VODAFONE GROUP PUBLIC LTD CO
68505,MSI,"Motorola Solutions, Inc."
1751788,DOW,DOW INC.
1637459,KHC,Kraft Heinz Co
1376891,EXPGY,Experian Group LTD
1137774,PRU,PRUDENTIAL FINANCIAL INC
1571996,DELL,Dell Technologies Inc.
76334,PH,PARKER HANNIFIN CORP
1058290,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP
745732,ROST,"ROSS STORES, INC."
1035267,ISRG,INTUITIVE SURGICAL INC
1666700,DD,"DuPont de Nemours, Inc."
1048515,DANOY,GROUPE DANONE
842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
1167379,ALC,ALCON INC
4904,AEP,AMERICAN ELECTRIC POWER CO INC
1618921,WBA,"Walgreens Boots Alliance, Inc."
1510295,MPC,Marathon Petroleum Corp
878927,ODFL,"OLD DOMINION FREIGHT LINE, INC."
1459580,ZIJMY,"Zijin Mining Group Co., Ltd./ADR"
1660134,OKTA,"Okta, Inc."
719739,SIVB,SVB FINANCIAL GROUP
866787,AZO,AUTOZONE INC
1321655,PLTR,Palantir Technologies Inc.
1024478,ROK,"ROCKWELL AUTOMATION, INC"
1585689,HLT,Hilton Worldwide Holdings Inc.
10456,BAX,BAXTER INTERNATIONAL INC
1436791,NTOIY,Neste OYJ
1160330,BBD,BANK BRADESCO
712515,EA,ELECTRONIC ARTS INC.
849395,CRH,CRH PUBLIC LTD CO
1725964,NTR,Nutrien Ltd.
891103,MTCH,"Match Group, Inc."
1404655,HUBS,HUBSPOT INC
86312,TRV,"TRAVELERS COMPANIES, INC."
311337,SU,SUNCOR ENERGY INC
1132597,ITUB,Itau Unibanco Holding S.A.
1084656,CGEMY,CAP GEMINI SA
1418091,TWTR,"TWITTER, INC."
1448817,OVCHY,Oversea-Chinese Banking Corp / ADR
875045,BIIB,BIOGEN INC.
1518258,ASHTY,Ashtead Group plc/ADR
1132979,FRC,FIRST REPUBLIC BANK
1086888,MFC,MANULIFE FINANCIAL CORP
313216,PHG,KONINKLIJKE PHILIPS NV
79879,PPG,PPG INDUSTRIES INC
40704,GIS,GENERAL MILLS INC
96021,SYY,SYSCO CORP
943819,RMD,RESMED INC
1451287,KHNGY,Kuehne & Nagel International AG / ADR
4977,AFL,AFLAC INC
1810997,XPEV,XPENG INC.
1041061,YUM,YUM BRANDS INC
1034054,SBAC,SBA COMMUNICATIONS CORP
47217,HPQ,HP INC
1032208,SRE,SEMPRA ENERGY
1012037,CODYY,COMPAGNIE DE SAINT GOBAIN
1352010,EPAM,"EPAM Systems, Inc."
1123360,GPN,GLOBAL PAYMENTS INC
51253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC
47111,HSY,HERSHEY CO
7084,ADM,Archer-Daniels-Midland Co
1781335,OTIS,Otis Worldwide Corp
1370637,ETSY,ETSY INC
1820953,AFRM,"Affirm Holdings, Inc."
1506307,KMI,"KINDER MORGAN, INC."
900075,CPRT,COPART INC
1442145,VRSK,"Verisk Analytics, Inc."
882184,DHI,HORTON D R INC /DE/
756894,GOLD,BARRICK GOLD CORP
717826,ERIC,ERICSSON LM TELEPHONE CO
1436793,KNYJY,Kone OYJ
1832433,FERG,Ferguson plc
1751008,APP,AppLovin Corp
1260221,TDG,TransDigm Group INC
1294325,CLPBY,COLOPLAST A/S
1318220,WCN,"Waste Connections, Inc."
766704,WELL,WELLTOWER INC.
1037646,MTD,METTLER TOLEDO INTERNATIONAL INC/
927653,MCK,MCKESSON CORP
1755672,CTVA,"Corteva, Inc."
1652630,VONOY,Vonovia SE/ADR
1601046,KEYS,"Keysight Technologies, Inc."
1393612,DFS,Discover Financial Services
1441816,MDB,"MongoDB, Inc."
33185,EFX,EQUIFAX INC
820027,AMP,AMERIPRISE FINANCIAL INC
815556,FAST,FASTENAL CO
1013462,ANSS,ANSYS INC
1159204,MTCPY,MTR CORP LTD
72903,XEL,XCEL ENERGY INC
1463101,ENPH,"Enphase Energy, Inc."
915912,AVB,AVALONBAY COMMUNITIES INC
1278680,IAU,ISHARES GOLD TRUST
844150,NWG,NatWest Group plc
1120193,NDAQ,"NASDAQ, INC."
920760,LEN,LENNAR CORP /NEW/
1651308,BGNE,"BeiGene, Ltd."
107263,WMB,"WILLIAMS COMPANIES, INC."
764478,BBY,BEST BUY CO INC
899051,ALL,ALLSTATE CORP
1791706,LI,Li Auto Inc.
14693,BF-A,BROWN FORMAN CORP
1253493,ASAZY,ASSA ABLOY AB
1138118,CBRE,"CBRE GROUP, INC."
1060736,SGEN,Seagen Inc.
73309,NUE,NUCOR CORP
1379235,ARZGY,Assicurazioni Generali S.p.A.
26172,CMI,CUMMINS INC
1451279,SAUHY,Straumann Holding AG / ADR
105770,WST,WEST PHARMACEUTICAL SERVICES INC
924613,NOK,NOKIA CORP
93751,STT,STATE STREET CORP
1709048,GFS,GLOBALFOUNDRIES Inc.
906107,EQR,EQUITY RESIDENTIAL
1474968,GELYY,Geely Automobile Holdings Limited/ADR
1097362,SLF,SUN LIFE FINANCIAL INC
24741,GLW,CORNING INC /NY
1037868,AME,AMETEK INC/
877212,ZBRA,ZEBRA TECHNOLOGIES CORP
1534701,PSX,Phillips 66
1502104,AMADY,"Amadeus IT Group, S.A./ADR"
915913,ALB,ALBEMARLE CORP
1132924,CHT,CHUNGHWA TELECOM CO LTD
354190,AJG,Arthur J. Gallagher & Co.
1243429,MT,ArcelorMittal
1611983,LBRDA,Liberty Broadband Corp
1410636,AWK,"American Water Works Company, Inc."
1335730,MFG,MIZUHO FINANCIAL GROUP INC
1035443,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
788784,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC
1552000,MPLX,MPLX LP
948696,HCMLY,LafargeHolcim Ltd/ADR
1428439,ROKU,"ROKU, INC"
935703,DLTR,"DOLLAR TREE, INC."
1381197,IBKR,"Interactive Brokers Group, Inc."
868675,TU,TELUS CORP
93556,SWK,"STANLEY BLACK & DECKER, INC."
1805284,RKT,"Rocket Companies, Inc."
35527,FITB,FIFTH THIRD BANCORP
56873,KR,KROGER CO
1483994,HTHT,Huazhu Group Ltd
9389,BLL,BALL Corp
1489393,LYB,LyondellBasell Industries N.V.
1396282,HNNMY,H&M HENNES & MAURITZ AB
1554394,LGFRY,Longfor Group Holdings Limited/ADR
1794515,ZI,ZoomInfo Technologies Inc.
75362,PCAR,PACCAR INC
100493,TSN,"TYSON FOODS, INC."
103379,VFC,V F CORP
1035002,VLO,VALERO ENERGY CORP/TX
885834,TSCDY,TESCO PLC /FI
1766502,CHWY,"Chewy, Inc."
1786352,BILL,"Bill.com Holdings, Inc."
1038143,ORAN,ORANGE
1140536,WLTW,WILLIS TOWERS WATSON PLC
1300514,LVS,LAS VEGAS SANDS CORP
1448987,AHCHY,Anhui Conch Cement Co Ltd\ADR
1090012,DVN,DEVON ENERGY CORP/DE
1506293,PINS,"PINTEREST, INC."
1041130,DIA,SPDR DOW JONES INDUSTRIAL AVERAGE ETF TRUST
1513845,YNDX,Yandex N.V.
936958,MDY,SPDR S&P MIDCAP 400 ETF TRUST
1450346,POAHY,Porsche Automobil Holding SE / ADR
749251,IT,GARTNER INC
1445161,CICOY,"COSCO SHIPPING Holdings Co., Ltd./ADR"
1444406,EC,ECOPETROL S.A.
797468,OXY,OCCIDENTAL PETROLEUM CORP /DE/
72741,ES,EVERSOURCE ENERGY
783325,WEC,"WEC ENERGY GROUP, INC."
106535,WY,WEYERHAEUSER CO
1033767,UMC,UNITED MICROELECTRONICS CORP
896076,MGDDY,MICHELIN COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN /FI
1039684,OKE,ONEOK INC /NEW/
1590955,PAYC,"Paycom Software, Inc."
850918,GWLIF,GREAT-WEST LIFECO INC.
1179029,GBERY,GEBERIT AG
1436647,CABHF,Carlsberg AS
1601712,SYF,Synchrony Financial
920148,LH,LABORATORY CORP OF AMERICA HOLDINGS
1436778,SAXPY,Sampo OYJ
1456346,FNV,FRANCO NEVADA Corp
54480,KSU,KANSAS CITY SOUTHERN
1047862,ED,CONSOLIDATED EDISON INC
1121788,GRMN,GARMIN LTD
1434265,GMAB,GENMAB A/S
1734722,PATH,"UiPath, Inc."
277948,CSX,CSX CORP
92380,LUV,SOUTHWEST AIRLINES CO
1004980,PCG,PG&E Corp
1402057,CDW,CDW Corp
1067701,URI,"UNITED RENTALS, INC."
1445166,WEGZY,Weg SA
3570,LNG,"Cheniere Energy, Inc."
1014473,VRSN,VERISIGN INC/CA
1809587,BEKE,KE Holdings Inc.
1097864,ON,ON SEMICONDUCTOR CORP
1061736,FMX,MEXICAN ECONOMIC DEVELOPMENT INC
4127,SWKS,"SKYWORKS SOLUTIONS, INC."
1136869,ZBH,"ZIMMER BIOMET HOLDINGS, INC."
1616707,W,Wayfair Inc.
1289490,EXR,Extra Space Storage Inc.
1659166,FTV,Fortive Corp
1159508,DB,DEUTSCHE BANK AKTIENGESELLSCHAFT
1474735,GNRC,GENERAC HOLDINGS INC.
726728,O,REALTY INCOME CORP
916365,TSCO,TRACTOR SUPPLY CO /DE/
1396009,VMC,Vulcan Materials CO
1448613,SVNLY,Svenska Handelsbanken AB
916076,MLM,MARTIN MARIETTA MATERIALS INC
1677250,ZTO,ZTO Express (Cayman) Inc.
1324424,EXPE,"Expedia Group, Inc."
908937,SIRI,SIRIUS XM HOLDINGS INC.
1140859,ABC,AMERISOURCEBERGEN CORP
939380,RWEOY,RWE AG /FI
1246135,RNECY,NEC ELECTRONICS CORP
1436740,FOJCY,Fortum OYJ
1567094,CNHI,CNH Industrial N.V.
1280452,MPWR,MONOLITHIC POWER SYSTEMS INC
27904,DAL,"DELTA AIR LINES, INC."
49938,IMO,IMPERIAL OIL LTD
1699150,IR,Ingersoll Rand Inc.
1637120,CKHUY,CK Hutchison Holdings Limited/ADR
1802768,RPRX,Royalty Pharma plc
29905,DOV,DOVER Corp
749098,MGA,MAGNA INTERNATIONAL INC
926042,TTM,TATA MOTORS LTD/FI
1475260,CVE,CENOVUS ENERGY INC.
1723690,BILI,Bilibili Inc.
73124,NTRS,NORTHERN TRUST CORP
874766,HIG,"HARTFORD FINANCIAL SERVICES GROUP, INC."
277135,GWW,"W.W. GRAINGER, INC."
1001807,TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK
97210,TER,"TERADYNE, INC"
1038683,RYAAY,RYANAIR HOLDINGS PLC
815097,CCL,CARNIVAL CORP
1701605,BKR,Baker Hughes Co
4447,HES,HESS CORP
1450681,SONVY,Sonova Holding AG / ADR
1335258,LYV,"Live Nation Entertainment, Inc."
1269920,GASNY,GAS NATURAL SDG SA
895564,BAESY,BAE SYSTEMS PLC /FI/
827052,EIX,EDISON INTERNATIONAL
814052,TEF,TELEFONICA S A
1650107,CCEP,COCA-COLA EUROPACIFIC PARTNERS plc
1492426,HZNP,Horizon Therapeutics Public Ltd Co
1276187,ET,Energy Transfer LP
1700171,ANYYY,Aena S.A./ADR
49196,HBAN,HUNTINGTON BANCSHARES INC /MD/
1450682,TLPFY,Teleperformance SA / ADR
1170010,KMX,CARMAX INC
733099,RCI,ROGERS COMMUNICATIONS INC
16988,CAJ,CANON INC
1453056,CMAKY,"China Minsheng Banking Corp., Ltd."
1159510,CS,CREDIT SUISSE GROUP AG
1069347,SGSOY,SGS SOCIETE GENERALE DE SURVEILLANCE HOLDING SA /FI
1070304,IX,ORIX CORP
1524472,XYL,Xylem Inc.
912595,MAA,MID AMERICA APARTMENT COMMUNITIES INC.
1757898,STE,STERIS plc
1687229,INVH,Invitation Homes Inc.
1461748,PPERY,PT Bank Mandiri (Persero) Tbk / ADR
1535628,CAIXY,CaixaBank/ADR
945841,POOL,POOL CORP
1137789,STX,Seagate Technology Holdings plc
12208,BIO,"BIO-RAD LABORATORIES, INC."
48465,HRL,HORMEL FOODS CORP /DE/
1281761,RF,REGIONS FINANCIAL CORP
91576,KEY,KEYCORP /NEW/
1093691,PLUG,PLUG POWER INC
1722482,AVTR,"Avantor, Inc."
1758730,TW,Tradeweb Markets Inc.
920522,ESS,"ESSEX PROPERTY TRUST, INC."
827054,MCHP,MICROCHIP TECHNOLOGY INC
1552033,TRU,TransUnion
1263521,SZKMY,SUZUKI MOTOR CORP
1353283,SPLK,SPLUNK INC
1673358,YUMC,"Yum China Holdings, Inc."
1125259,CUK,CARNIVAL PLC
1403568,ULTA,"Ulta Beauty, Inc."
1754301,FOXA,Fox Corp
1477720,ASAN,"Asana, Inc."
1319161,WMG,Warner Music Group Corp.
1555574,CJEWY,Chow Tai Fook Jewellery Group Limited/ADR
313927,CHD,CHURCH & DWIGHT CO INC /DE/
63754,MKC,MCCORMICK & CO INC
813828,VIAC,ViacomCBS Inc.
1384905,RNG,"RingCentral, Inc."
1505497,BRTX,"BioRestorative Therapies, Inc."
1438571,FRRVY,CINTRA Concesiones de Infraestructuras
1495686,ZSHGY,Zhongsheng Group Holdings Limited/ADR/
860731,TYL,TYLER TECHNOLOGIES INC
864749,TRMB,TRIMBLE INC.
912593,SUI,SUN COMMUNITIES INC
783280,DRE,DUKE REALTY CORP
1596783,CTLT,"Catalent, Inc."
922224,PPL,PPL Corp
789570,MGM,MGM Resorts International
1446641,MTSFY,Mitsui Fudosan Co Ltd
804753,CERN,CERNER Corp
936340,DTE,DTE ENERGY CO
1002910,AEE,AMEREN CORP
